product_ID,product_title,price_clean,review_avg,link_product_image_clean
3034033553,"[Freeship] Túi giữ nhiệt hôm cơm phiên bản cao cấp, sang trọng",44900,4.41,https://cf.shopee.vn/file/7eafba1a8fe2c8ddec352ba2bfd6efa6_tn
3392137677,Set 10 Khăn lau 2 mặt đa năng mềm mịn xịn xò,19278,4.19,https://cf.shopee.vn/file/4b6ecde87c9f7bca0d81e7aee26450a5_tn
1758596685,Lọ đựng dung dịch dạng chai nắp bật,3500,3.48,https://cf.shopee.vn/file/2d21d41c8b3f035b41e7e17330baa5e0_tn
2490226828,Móc treo đa năng 4 móc treo - Móc treo túi/ khăn/ chìa khóa 🍉Duashop🍉,7000,3.65,https://cf.shopee.vn/file/67fd8b5f2ce5ea99a57fa7fda052e0c5_tn
3445414293,Set 50 nhãn dán trang trí graffiti kiểu phim hoạt hình Naruto,23000,3.56,https://cf.shopee.vn/file/7455d055232c9148a40ab4f0c74347b3_tn
471820961,20x15x15 Hộp carton đóng hàng,2350,3.87,https://cf.shopee.vn/file/3bdb2b6827f1bdb5cf5d572608f29822_tn
1514910836,Khăn Mặt Lông Cừu Xuất Hàn,10000,3.89,https://cf.shopee.vn/file/37b970b5b25d6807a6ee1c91cdae1a94_tn
395203662,[Mã LIFE2410K giảm 10K đơn 20K] Lọ hoa mini thủy tinh / Bình cắm hoa thủy tinh tặng kèm dây dừa trang trí,11900,3.8,https://cf.shopee.vn/file/2c40180df217d1d7aed7dbde9b15a8d6_tn
3485337731,"[SIÊU LUNG LINH] Đèn ngủ chiếu sao, cổ tích, đại dương, sinh nhật xoay tự động đèn LED lãng mạn",199000,3.43,https://cf.shopee.vn/file/ab6dbcbfd40c89b892700ac3f4e229f2_tn
3786522340,[LÔNG MỀM ] Cây Chà Lưng Bàn Chải Chà Lưng Cây Cọ Lưng Cây Chà Lưng Khi Tắm Muji Xuất Nhật [1 Cây]o,29900,3.67,https://cf.shopee.vn/file/18302dfbfa8545a36f3b9376722dc229_tn
